Entero1,Entero2,Entero3,Texto,Flotante
22,72,53,tipo_1,3.2160445864734966
12,83,81,tipo_3,3.2052146000300854
10,73,30,tipo_1,3.225424413983075
65,92,51,tipo_2,3.062523153059155
35,77,64,tipo_3,3.1699986471574686
21,16,78,tipo_2,3.1834391841974123
84,8,62,tipo_3,3.0764728959444234
60,25,43,tipo_3,3.192486237511547
6,55,81,tipo_1,3.1814884437235027
40,60,87,tipo_2,3.042956714372683
23,7,37,tipo_1,3.0844693414303683
43,63,16,tipo_1,3.212322328107724
84,2,10,tipo_2,3.159683857929379
44,46,92,tipo_2,3.1184914481818975
94,97,64,tipo_3,3.135203144355467
97,34,13,tipo_2,3.194837261045018
20,44,74,tipo_3,3.101579982721729
17,16,54,tipo_2,3.1724842869818746
7,79,21,tipo_2,3.0971021863732973
66,24,48,tipo_1,3.1582245703400886
56,44,74,tipo_1,3.1283295494261085
60,90,59,tipo_3,3.2354921094726894
97,1,6,tipo_1,3.1829903627658056
4,53,26,tipo_2,3.2333740449042723
84,30,84,tipo_1,3.200667869501259
1,50,97,tipo_3,3.152496060397605
23,51,14,tipo_1,3.0637073632537244
60,77,29,tipo_2,3.1807578858549315
12,76,11,tipo_3,3.1786182486797734
85,27,41,tipo_2,3.0808926962360745
28,51,50,tipo_1,3.175142812688682
63,30,25,tipo_3,3.1418999676352155
50,85,58,tipo_1,3.1434576909723972
24,61,44,tipo_2,3.149507787818291
94,72,45,tipo_3,3.0616282373546433
60,22,98,tipo_2,3.153075633643302
12,10,92,tipo_3,3.0976854898838204
48,25,26,tipo_3,3.1577097496446567
35,38,47,tipo_3,3.181709963288276
32,20,34,tipo_3,3.2117281558007074
61,35,81,tipo_3,3.0568003732370284
54,4,72,tipo_3,3.214033063594351
44,43,98,tipo_3,3.2255930138586177
80,22,41,tipo_2,3.2293038293029226
22,67,22,tipo_3,3.11211292409269
52,61,89,tipo_1,3.078628413226726
74,82,6,tipo_2,3.0603853612236303
90,82,25,tipo_1,3.144955580915803
61,2,64,tipo_3,3.162751198555226
14,58,55,tipo_2,3.0889933934773555
87,67,62,tipo_1,3.1153153875686703
84,15,72,tipo_3,3.2138523809835786
92,72,13,tipo_3,3.098359158026172
50,9,25,tipo_3,3.208387157309672
66,90,20,tipo_2,3.1268522972724364
97,15,45,tipo_1,3.1920797626122974
97,90,51,tipo_1,3.1008369751728377
3,1,42,tipo_3,3.083762082013215
54,29,23,tipo_2,3.2228772631844707
80,66,44,tipo_1,3.200305510864472
28,56,90,tipo_1,3.0685273777565807
38,75,47,tipo_1,3.196666542828411
53,45,7,tipo_2,3.1516673418351533
84,83,49,tipo_3,3.133720928267357
23,26,43,tipo_3,3.1901223931937484
16,84,48,tipo_2,3.2040586207449997
31,53,15,tipo_3,3.0742899297283772
68,29,61,tipo_2,3.181348839177391
23,20,45,tipo_3,3.217015610490652
18,27,51,tipo_2,3.2349301522661884
15,93,71,tipo_3,3.134048278225308
26,99,47,tipo_2,3.0517087901901014
72,74,13,tipo_3,3.2383635900840333
98,34,48,tipo_2,3.146599119995047
82,94,43,tipo_3,3.093366484158167
14,64,12,tipo_3,3.1864215730979577
